Affix,Type,Position,Language,Voice_Focus,Aspect,Tense,Function_Meaning,Example_Root_CEB,Example_Form_CEB,Example_Gloss_CEB,Example_Root_TAG,Example_Form_TAG,Example_Gloss_TAG,Notes,Allomorphs
ni-,Inflectional,Prefix,Cebuano,Actor,Punctual,Past,[verb]-ed (alternative),palit,nipalit,bought,,,,Cebuano only; alternative to mi-,
nag-,Inflectional,Prefix,Both,Actor,Durative/Completed,Past,CEB: was [verb]-ing; TAG: [verb]-ed,palit,nagpalit,was buying,bili,nagbili,bought,Different aspect usage,
nam-,Inflectional,Prefix,Both,Actor,Distributive,Past,[verb]-ed habitually (before p/b),palit,namalit,bought habitually,bili,namili,bought habitually,"Past allomorph of maN-; before p, b",Part of paN-/maN- system
nan-,Inflectional,Prefix,Both,Actor,Distributive,Past,[verb]-ed habitually (before t/d/s/r/l),tindug,nanindug,stood habitually,sulat,nanulat,wrote habitually,"Past allomorph of maN-; before t, d, s, r, l",Part of paN-/maN- system
nang-,Inflectional,Prefix,Both,Actor,Distributive,Past,[verb]-ed habitually (before k/h/vowels),isda,namingka,went fishing,isda,nangisda,went fishing,"Past allomorph of maN-; before k, h, vowels",Part of paN-/maN- system
nangl-,Inflectional,Prefix,Cebuano,Actor,Distributive,Past,[verb]-ed habitually (before l),lútù,nanglútù,cooked habitually,,,,Cebuano only; past allomorph before l,Part of paN-/maN- system
nanl-,Inflectional,Prefix,Cebuano,Actor,Distributive,Past,[verb]-ed habitually (before l variant),lútù,nanlútù,cooked habitually,,,,Cebuano only; variant of nangl-,Part of paN-/maN- system
nany-,Inflectional,Prefix,Tagalog,Actor,Distributive,Past,[verb]-ed habitually (variant),,,,,,,Tagalog only; past allomorph,Part of paN-/maN- system
na-,Inflectional,Prefix,Tagalog,Actor,Distributive,Past,[verb]-ed habitually (before consonants),,,,,,,Tagalog only; past allomorph,Part of paN-/maN- system
maga-,Inflectional,Prefix,Cebuano,Actor,Durative,Future,will be [verb]-ing,palit,magapalit,will be buying,,,,Cebuano durative variant,
nag-...-in,Inflectional,Circumfix,Cebuano,Actor,Durative,Future,will be [verb]-ing (with reduplication),,,,,,,Cebuano durative pattern,
-um-...-in,Inflectional,Circumfix,Tagalog,Actor,Incompleted,Future,will be [verb]-ing (with reduplication),,,,,,,Tagalog incompleted pattern,
naga-,Inflectional,Prefix,Cebuano,Actor,Durative,Past,was [verb]-ing,palit,nagapalit,was buying,,,,Cebuano durative variant,
ga-,Inflectional,Prefix,Cebuano,Actor,Durative,Past,was [verb]-ing (short form),palit,gapalit,was buying,,,,Cebuano durative short form,
maka-,Inflectional,Prefix,Both,Actor,Potential,Future,can/able to [verb],palit,makapalit,can buy,bili,makabili,can buy,Shared ability marker,
ka-,Inflectional,Prefix,Both,Actor,Potential,Future,can [verb] (short form),palit,kapalit,can buy,bili,kabili,can buy,Short form of maka-/naka-; multiple functions,
makapag-,Inflectional,Prefix,Tagalog,Actor,Potential,Future,can [verb] (with mag- verbs),,,,,trabaho,makapag-trabaho,able to work,Tagalog only; combines with mag- verbs
makapang-,Inflectional,Prefix,Tagalog,Actor,Potential,Future,can [verb] (with mang- verbs),,,,,isda,makapang-isda,able to go fishing,Tagalog only; combines with mang- verbs
naka-,Inflectional,Prefix,Both,Actor,Potential,Past,was able to [verb],palit,nakapalit,was able to buy,bili,nakabili,was able to buy,Shared past ability marker,
ka-...-in,Inflectional,Circumfix,Tagalog,Actor,Recent Perfective,Past,just [verb]-ed,,,,,dating,kadating,just arrived,Tagalog only; recent completion
-un,Inflectional,Suffix,Both,Object,Punctual,Future,will be [verb]-ed,palit,palitun,will be bought,,,,Cebuano standard,
-in,Inflectional,Suffix,Both,Object,Basic,Future,will be [verb]-ed,,,,bili,bilhin,will be bought,Tagalog standard; also nominal/adjectival,
-hin,Inflectional,Suffix,Tagalog,Object,Basic,Future,will be [verb]-ed (after vowel),,,,,bili,bilhin,will be bought,Tagalog only; after vowel-final roots
gi-,Inflectional,Prefix,Cebuano,Direct Passive,Punctual,Past,was [verb]-ed,palit,gipalit,was bought,,,,Cebuano only; main past passive marker,
-in-,Inflectional,Infix,Both,Object,Completed,Past,[verb]-ed (completed),lútù,linútù,was cooked,bili,binili,was bought,Shared completed aspect marker,
-a,Inflectional,Suffix,Cebuano,Direct Passive,Punctual,Subjunctive,[verb] it! (imperative),palit,palita,buy it!,,,,Cebuano only; imperative/subjunctive,
paga-...-un,Inflectional,Circumfix,Cebuano,Direct Passive,Durative,Future,will be being [verb]-ed,lútù,pagalutúun,will be being cooked,,,,Cebuano only; literary/dialectal,
-in...-in,Inflectional,Circumfix,Tagalog,Object,Incompleted,Future,will be/was being [verb]-ed,,,,,bili,bibilhin,will be being bought,Tagalog only; with reduplication
-hin...-in,Inflectional,Circumfix,Tagalog,Object,Incompleted,Future,will be/was being [verb]-ed (after vowel),,,,,bili,bibilhin,will be being bought,Tagalog only; after vowel
gina-,Inflectional,Prefix,Cebuano,Direct Passive,Durative,Past,was being [verb]-ed,lútù,ginalútù,was being cooked,,,,Cebuano only; literary/dialectal,
ma-,Inflectional,Prefix,Both,Passive,Potential,Future,can be [verb]-ed; become [adj]; [adj],palit,mapalit,can be bought,bili,mabili,can be bought,"Multiple functions; potential passive, stative, adjectival",
na-,Inflectional,Prefix,Both,Passive,Potential,Past,was able to be [verb]-ed,palit,napalit,was able to be bought,bili,nabili,was able to be bought,Shared past potential passive,
-an,Inflectional,Suffix,Both,Locative,Punctual,Future,will be [verb]-ed from/at/for,palit,palitan,will be bought from/for,bili,bilhan,will be bought from/for,Shared locative marker; also place nominalization,
-han,Inflectional,Suffix,Both,Locative,Punctual,Future,will be [verb]-ed from/at/for (after vowel),palit,palitan,will be bought from,bili,bilhan,will be bought from,After vowel-final roots,
gi-...-an,Inflectional,Circumfix,Cebuano,Locative,Punctual,Past,was [verb]-ed from/at,palit,gipalitan,was bought from,,,,Cebuano only; past locative,
-in...-an,Inflectional,Circumfix,Tagalog,Locative,Completed,Past,was [verb]-ed from/at,,,,,bili,binilhan,was bought from,Tagalog only; completed locative
-in...-han,Inflectional,Circumfix,Tagalog,Locative,Completed,Past,was [verb]-ed from/at (after vowel),,,,,bili,binilhan,was bought from,Tagalog only; after vowel
-i,Inflectional,Suffix,Cebuano,Locative,Punctual,Subjunctive,[verb] from/at it!,palit,paliti,buy from it!,,,,Cebuano only; imperative/subjunctive,
paga-...-an,Inflectional,Circumfix,Cebuano,Locative,Durative,Future,will be being [verb]-ed from/at,kaun,pagakaunan,will be being eaten from,,,,Cebuano only; literary/dialectal,
gina-...-an,Inflectional,Circumfix,Cebuano,Locative,Durative,Past,was being [verb]-ed from/at,kaun,ginakaunan,was being eaten from,,,,Cebuano only; literary/dialectal,
ma-...-an,Inflectional,Circumfix,Both,Locative,Potential,Future,can be [verb]-ed from/at/for,palit,mapalitan,can be bought from/for,bili,mabilhan,can be bought from/for,Shared potential locative,
ka-...-an,Inflectional,Circumfix,Both,Locative,Potential,Future,can be [verb]-ed from/at/for; place; abstract,palit,kapalitan,can be bought from/for,kahoy,kakahoy-an,forest,"Multiple functions; locative, place, abstract",
na-...-an,Inflectional,Circumfix,Both,Locative,Potential,Past,was able to be [verb]-ed from/at/for,palit,napalitan,was able to be bought from/for,bili,nabilhan,was able to be bought from/for,Shared past potential locative,
i-,Inflectional,Prefix,Both,Instrumental/Benefactive,Punctual,Future,will [verb] (it/for someone),dala,idala,will bring,bigay,ibigay,will give,Shared instrumental/benefactive marker,
ipag-,Inflectional,Prefix,Tagalog,Benefactive,Basic,Future,will [verb] for (someone),,,,,luto,ipagluto,will cook for,Tagalog only; benefactive focus
iga-,Inflectional,Prefix,Cebuano,Instrumental,Durative,Future,will be [verb]-ing (it),dala,igadala,will be bringing,,,,Cebuano only; literary/dialectal,
i-...-in,Inflectional,Circumfix,Tagalog,Instrumental/Benefactive,Incompleted,Future,will be/was [verb]-ing for,,,,,luto,ilugluto,will be cooking (for),Tagalog only; with reduplication
ipag-...-in,Inflectional,Circumfix,Tagalog,Benefactive,Incompleted,Future,will be/was [verb]-ing for,,,,,luto,ipagluluto,will be cooking for,Tagalog only; with reduplication
ika-,Inflectional,Prefix,Cebuano,Instrumental,Potential,Future,can be [verb]-ed (reason-based),dala,ikadala,can bring (because of),,,,Cebuano only; reason/causation,
gika-,Inflectional,Prefix,Cebuano,Instrumental,Potential,Past,was [verb]-ed (reason),dala,gikadala,was brought (because of),,,,Cebuano only; past reason,
ipam-,Inflectional,Prefix,Tagalog,Instrumental,Basic,Future,will use to [verb] (before p/b),,,,,bili,ipambili,will use to buy,"Tagalog only; allomorph before p, b"
ipan-,Inflectional,Prefix,Tagalog,Instrumental,Basic,Future,will use to [verb] (before t/d/s),,,,,,,,"Tagalog only; allomorph before t, d, s"
ipany-,Inflectional,Prefix,Tagalog,Instrumental,Basic,Future,will use to [verb] (variant),,,,,,,,Tagalog only; allomorph variant
ipinam-,Inflectional,Prefix,Tagalog,Instrumental,Basic,Past,was used to [verb] (before p/b),,,,,bili,ipinambili,was used to buy,"Tagalog only; past allomorph before p, b"
ipinan-,Inflectional,Prefix,Tagalog,Instrumental,Basic,Past,was used to [verb] (before t/d/s),,,,,,,,Tagalog only; past allomorph
ipinany-,Inflectional,Prefix,Tagalog,Instrumental,Basic,Past,was used to [verb] (variant),,,,,,,,Tagalog only; past allomorph variant
ipinang-...-in,Inflectional,Circumfix,Tagalog,Instrumental,Incompleted,Future,will be using to [verb],,,,,bili,ipinambibili,will be using to buy,Tagalog only; with reduplication
pa-,Derivational,Prefix,Both,,,,make/have (someone) [verb],lútù,palútù,have (someone) cook,kain,pakain,feed/make eat,Causative; combines with voice affixes,
magpa-,Derivational,Prefix,Tagalog,Actor,,,have (someone) [verb],,,,,gawa,magpagawa,have (someone) make,Tagalog only; actor focus causative
pa-...-in,Derivational,Circumfix,Tagalog,Object,,,feed/make [verb] (someone),,,,,kain,pakainin,feed (someone),Tagalog only; object focus causative
pa-...-an,Derivational,Circumfix,Tagalog,Locative,,,have [verb]-ed at/for,,,,,gawa,pagawaan,have made at/for,Tagalog only; locative focus causative
ipa-,Derivational,Prefix,Tagalog,Benefactive,,,have [verb]-ed for,,,,,luto,ipaluto,have cooked for,Tagalog only; benefactive focus causative
pam-,Derivational,Prefix,Both,,,,instrument for [verb]-ing (before p/b),,,,,,,,"Allomorph before p, b"
pan-,Derivational,Prefix,Both,,,,instrument for [verb]-ing (before t/d/s),sulat,panulat,writing instrument,,,,"Allomorph before t, d, s",Part of pang- system
pany-,Derivational,Prefix,Tagalog,,,,instrument for [verb]-ing (variant),,,,,,,,Tagalog only; allomorph variant
pang-,Derivational,Prefix,Both,,,,instrument for [verb]-ing (before k/h/vowels),,,,,gulo,panggulo,instrument for disorder,"Allomorph before k, h, vowels"
makig-,Derivational,Prefix,Cebuano,,,,[verb] together with (someone),inúm,makiginúm,drink together with,,,,Cebuano only; social action; future form,Part of pakig-/makig- system
nakig-,Derivational,Prefix,Cebuano,,,,[verb]-ed together with (someone),inúm,nakiginúm,drank together with,,,,Cebuano only; social action; past form,Part of pakig-/makig- system
maki-,Derivational,Prefix,Tagalog,,,,[verb] with (others),,,,,laro,makilaro,play with others,Tagalog only; social actor
makipag-,Derivational,Prefix,Tagalog,,,,engage in [verb] with,,,,,usap,makipag-usap,converse with,Tagalog only; social reciprocal
mag-...-an,Derivational,Circumfix,Tagalog,,,,[verb] each other,,,,,kita,magkita-an,see each other,Tagalog only; reciprocal
magka-,Derivational,Prefix,Both,,,,[verb] each other/mutually,sábut,magkasábut,will understand each other,sunod,magkasunod,will follow one another,Mutual/reciprocal action,
magka-...-an,Derivational,Circumfix,Tagalog,,,,[verb] each other (intensive),,,,,tulak,magkatulakan,push each other,Tagalog only; intensive reciprocal
-ay,Derivational,Suffix,Cebuano,,,,[verb] each other,lútù,lútùay,cook for each other,,,,Cebuano only; reciprocal suffix,
-anay,Derivational,Suffix,Cebuano,,,,[verb] with each other,sulti,sultiánay,converse,,,,Cebuano only; reciprocal suffix variant,
manggi-,Derivational,Prefix,Cebuano,,,,[verb] together (collective future),káun,manggikáun,will eat together,,,,Cebuano only; collective social future,Part of panggi-/manggi- system
nanggi-,Derivational,Prefix,Cebuano,,,,[verb]-ed together (collective past),káun,nanggikáun,ate together,,,,Cebuano only; collective social past,Part of panggi-/manggi- system
paki-,Derivational,Prefix,Both,,,,please [verb] (polite request),tabang,pakitabang,please help,kuha,pakikuha,please get,Shared polite request marker,
paki-...-an,Derivational,Circumfix,Tagalog,Locative,,,please [verb] in/on,,,,,lagay,pakilagyan,please put in/on,Tagalog only; locative request
paki-...-i,Derivational,Circumfix,Cebuano,Locative,,,please [verb] with this,tabang,pakitabangi,please help with this,,,,Cebuano only; locative request,
paki-...-a,Derivational,Circumfix,Cebuano,Direct,,,please [verb] this,kúhà,pakikúhàa,please take this,,,,Cebuano only; direct request,
hi-,Derivational,Prefix,Cebuano,,,,accidentally [verb],kaun,hikaun,accidentally eat,,,,Cebuano only; involuntary/accidental,
ha-,Derivational,Prefix,Cebuano,,,,accidentally [verb] (variant),kà,hakà,accidentally step on,,,,Cebuano only; variant of hi-,
hi-...-an,Derivational,Circumfix,Cebuano,Locative,,,accidentally [verb] to/at,bása,hibásàan,accidentally read to/at,,,,Cebuano only; accidental locative,
him-,Derivational,Prefix,Cebuano,,,,[verb] intensively (before p/b),bisayà,himbisayà,speak only Cebuano,,,,"Cebuano only; allomorph before p, b",Part of hiN- system
hin-,Derivational,Prefix,Cebuano,,,,[verb] intensively (before t/d/s),,,,,,,,"Cebuano only; allomorph before t, d, s"
hing-,Derivational,Prefix,Cebuano,,,,[verb] intensively (before k/h/vowels),,,,,,,,"Cebuano only; allomorph before k, h, vowels"
him-...-an,Derivational,Circumfix,Cebuano,,,,[verb] throughout (before p/b),bisayà,himbisayàan,speak Cebuano throughout,,,,"Cebuano only; allomorph before p, b",Part of hiN-...-an system
hin-...-an,Derivational,Circumfix,Cebuano,,,,[verb] throughout (before t/d/s),,,,,,,,"Cebuano only; allomorph before t, d, s"
hing-...-an,Derivational,Circumfix,Cebuano,,,,[verb] throughout (before k/h/vowels),,,,,,,,"Cebuano only; allomorph before k, h, vowels"
napaka-,Derivational,Prefix,Tagalog,,,,very [adjective],,,,,ganda,napakaganda,very beautiful,Tagalog only; intensive adjectival
mani-,Derivational,Prefix,Cebuano,,,,[verb] professionally (future variant),múlung,panimúlung,go hunting,,,,Cebuano only; professional/habitual future,Part of pani-/mani- system
nani-,Derivational,Prefix,Cebuano,,,,[verb]-ed professionally (past variant),múlung,nanimúlung,went hunting,,,,Cebuano only; professional/habitual past,Part of pani-/mani- system
manim-,Derivational,Prefix,Cebuano,,,,make a habit of [verb]-ing (future; before p/b),káun,paningkáun,make a habit of eating,,,,"Cebuano only; allomorph before p, b",Part of paniN-/maniN- system
manin-,Derivational,Prefix,Cebuano,,,,make a habit of [verb]-ing (future; before t/d/s),,,,,,,,"Cebuano only; allomorph before t, d, s"
maning-,Derivational,Prefix,Cebuano,,,,make a habit of [verb]-ing (future; before k/h/vowels),,,,,,,,"Cebuano only; allomorph before k, h, vowels"
nanim-,Derivational,Prefix,Cebuano,,,,made a habit of [verb]-ing (past; before p/b),,,,,,,,"Cebuano only; past allomorph before p, b"
nanin-,Derivational,Prefix,Cebuano,,,,made a habit of [verb]-ing (past; before t/d/s),,,,,,,,"Cebuano only; past allomorph before t, d, s"
naning-,Derivational,Prefix,Cebuano,,,,made a habit of [verb]-ing (past; before k/h/vowels),,,,,,,,"Cebuano only; past allomorph before k, h, vowels"
pag-,Nominal,Prefix,Tagalog,,,,act of [verb]-ing; [verb]-ed thing,,,,,kain,pagkain,eating/food,Tagalog only; action nominalization
pag-...-un,Nominal,Circumfix,Cebuano,,,,act of being [verb]-ed,lútù,paglutúun,the act of being cooked,,,,Cebuano only; gerundive,
pagka-,Nominal,Prefix,Tagalog,,,,state of being [noun]; abstract,,,,,tao,pagkatao,humanity/being a person,Tagalog only; abstract state
pagka-...-an,Nominal,Circumfix,Tagalog,,,,time/instance of [verb]-ing,,,,,kain,pagkakain,upon eating,Tagalog only; temporal noun
pag-...-an,Nominal,Circumfix,Tagalog,,,,place of [verb]-ing,,,,,kain,pagkain-an,dining place,Tagalog only; place of action
-anan,Nominal,Suffix,Cebuano,,,,place to [verb],lingkod,lingkoranan,seat/place to sit,,,,Cebuano only; place nominalization,
taga-,Nominal,Prefix,Tagalog,,,,person from [place]; habitual doer,,,,,luto,tagaluto,cook (person),Tagalog only; agent/origin noun
mapag-,Adjectival,Prefix,Tagalog,,,,characterized by [verb]-ing,,,,,mahal,mapagmahal,loving (characteristic),Tagalog only; characteristic adjective
maka-,Adjectival,Prefix,Tagalog,,,,capable of causing; related to,,,,,Diyos,maka-Diyos,God-fearing/godly,Tagalog only; capability adjective
